time,state,target_angle,angle,velocity,motor_command,error
0.000000,MOVE,30.400000,30.001481,0.002563,0.004101,0.398519
0.010000,MOVE,30.800000,30.005708,0.007377,0.007886,0.794292
0.020000,MOVE,31.200000,30.013821,0.014160,0.011390,1.186179
0.030000,MOVE,31.600000,30.026806,0.022663,0.014643,1.573194
0.040000,MOVE,32.000000,30.045518,0.032659,0.017674,1.954482
0.050000,MOVE,32.400000,30.070698,0.043947,0.020507,2.329302
0.060000,MOVE,32.800000,30.102983,0.056348,0.023163,2.697017
0.070000,MOVE,33.200000,30.142917,0.069698,0.025664,3.057083
0.080000,MOVE,33.600000,30.190961,0.083853,0.028026,3.409039
0.090000,MOVE,34.000000,30.247503,0.098684,0.030266,3.752497
0.100000,MOVE,34.400000,30.312864,0.114075,0.032397,4.087136
0.110000,MOVE,34.800000,30.387303,0.129922,0.034432,4.412697
0.120000,MOVE,35.200000,30.471030,0.146131,0.036382,4.728970
0.130000,MOVE,35.600000,30.564205,0.162621,0.038257,5.035795
0.140000,MOVE,36.000000,30.666946,0.179317,0.040067,5.333054
0.150000,MOVE,36.400000,30.779334,0.196153,0.041818,5.620666
0.160000,MOVE,36.800000,30.901414,0.213071,0.043519,5.898586
0.170000,MOVE,37.200000,31.033204,0.230017,0.045175,6.166796
0.180000,MOVE,37.600000,31.174694,0.246945,0.046793,6.425306
0.190000,MOVE,38.000000,31.325848,0.263814,0.048377,6.674152
0.200000,MOVE,38.400000,31.486613,0.280587,0.049932,6.913387
0.210000,MOVE,38.800000,31.656914,0.297231,0.051461,7.143086
0.220000,MOVE,39.200000,31.836661,0.313718,0.052968,7.363339
0.230000,MOVE,39.600000,32.025749,0.330021,0.054457,7.574251
0.240000,MOVE,40.000000,32.224060,0.346119,0.055930,7.775940
0.250000,MOVE,40.400000,32.431467,0.361992,0.057389,7.968533
0.260000,MOVE,40.800000,32.647829,0.377624,0.058837,8.152171
0.270000,MOVE,41.200000,32.873001,0.392998,0.060275,8.326999
0.280000,MOVE,41.600000,33.106827,0.408103,0.061706,8.493173
0.290000,MOVE,42.000000,33.349146,0.422928,0.063131,8.650854
0.300000,MOVE,42.400000,33.599793,0.437462,0.064551,8.800207
0.310000,MOVE,42.800000,33.858598,0.451699,0.065967,8.941402
0.320000,MOVE,43.200000,34.125385,0.465632,0.067380,9.074615
0.330000,MOVE,43.600000,34.399978,0.479255,0.068792,9.200022
0.340000,MOVE,44.000000,34.682196,0.492564,0.070202,9.317804
0.350000,MOVE,44.400000,34.971859,0.505557,0.071612,9.428141
0.360000,MOVE,44.800000,35.268783,0.518230,0.073022,9.531217
0.370000,MOVE,45.200000,35.572785,0.530583,0.074432,9.627215
0.380000,MOVE,45.600000,35.883681,0.542615,0.075844,9.716319
0.390000,MOVE,46.000000,36.201285,0.554324,0.077256,9.798715
0.400000,MOVE,46.400000,36.525415,0.565713,0.078671,9.874585
0.410000,MOVE,46.800000,36.855886,0.576781,0.080087,9.944114
0.420000,MOVE,47.200000,37.192517,0.587531,0.081506,10.007483
0.430000,MOVE,47.600000,37.535125,0.597964,0.082926,10.064875
0.440000,MOVE,48.000000,37.883530,0.608083,0.084350,10.116470
0.450000,MOVE,48.400000,38.237555,0.617889,0.085775,10.162445
0.460000,MOVE,48.800000,38.597021,0.627387,0.087203,10.202979
0.470000,MOVE,49.200000,38.961754,0.636579,0.088634,10.238246
0.480000,MOVE,49.600000,39.331580,0.645469,0.090067,10.268420
0.490000,MOVE,50.000000,39.706329,0.654060,0.091503,10.293671
0.500000,MOVE,50.400000,40.085832,0.662357,0.092941,10.314168
0.510000,MOVE,50.800000,40.469923,0.670364,0.094382,10.330077
0.520000,MOVE,51.200000,40.858436,0.678085,0.095825,10.341564
0.530000,MOVE,51.600000,41.251212,0.685523,0.097271,10.348788
0.540000,MOVE,52.000000,41.648091,0.692685,0.098719,10.351909
0.550000,MOVE,52.400000,42.048918,0.699574,0.100170,10.351082
0.560000,MOVE,52.800000,42.453537,0.706195,0.101622,10.346463
0.570000,MOVE,53.200000,42.861800,0.712552,0.103077,10.338200
0.580000,MOVE,53.600000,43.273557,0.718652,0.104534,10.326443
0.590000,MOVE,54.000000,43.688664,0.724498,0.105993,10.311336
0.600000,MOVE,54.400000,44.106978,0.730096,0.107454,10.293022
0.610000,MOVE,54.800000,44.528361,0.735451,0.108917,10.271639
0.620000,MOVE,55.200000,44.952675,0.740567,0.110381,10.247325
0.630000,MOVE,55.600000,45.379786,0.745451,0.111847,10.220214
0.640000,MOVE,56.000000,45.809565,0.750105,0.113315,10.190435
0.650000,MOVE,56.400000,46.241883,0.754537,0.114784,10.158117
0.660000,MOVE,56.800000,46.676615,0.758751,0.116254,10.123385
0.670000,MOVE,57.200000,47.113640,0.762752,0.117726,10.086360
0.680000,MOVE,57.600000,47.552837,0.766544,0.119199,10.047163
0.690000,MOVE,58.000000,47.994092,0.770134,0.120673,10.005908
0.700000,MOVE,58.400000,48.437289,0.773526,0.122147,9.962711
0.710000,MOVE,58.800000,48.882320,0.776725,0.123623,9.917680
0.720000,MOVE,59.200000,49.329075,0.779735,0.125100,9.870925
0.730000,MOVE,59.600000,49.777451,0.782563,0.126577,9.822549
0.740000,MOVE,60.000000,50.227344,0.785212,0.128055,9.772656
0.750000,MOVE,60.400000,50.678657,0.787688,0.129533,9.721343
0.760000,MOVE,60.800000,51.131291,0.789996,0.131012,9.668709
0.770000,MOVE,61.200000,51.585153,0.792139,0.132491,9.614847
0.780000,MOVE,61.600000,52.040152,0.794123,0.133971,9.559848
0.790000,MOVE,62.000000,52.496199,0.795953,0.135450,9.503801
0.800000,MOVE,62.400000,52.953209,0.797632,0.136930,9.446791
0.810000,MOVE,62.800000,53.411097,0.799166,0.138410,9.388903
0.820000,MOVE,63.200000,53.869783,0.800559,0.139890,9.330217
0.830000,MOVE,63.600000,54.329190,0.801815,0.141370,9.270810
0.840000,MOVE,64.000000,54.789240,0.802939,0.142850,9.210760
0.850000,MOVE,64.400000,55.249861,0.803935,0.144330,9.150139
0.860000,MOVE,64.800000,55.710982,0.804807,0.145810,9.089018
0.870000,MOVE,65.200000,56.172533,0.805560,0.147289,9.027467
0.880000,MOVE,65.600000,56.634450,0.806197,0.148768,8.965550
0.890000,MOVE,66.000000,57.096668,0.806722,0.150246,8.903332
0.900000,MOVE,66.400000,57.559125,0.807140,0.151724,8.840875
0.910000,MOVE,66.800000,58.021762,0.807454,0.153202,8.778238
0.920000,MOVE,67.200000,58.484522,0.807668,0.154679,8.715478
0.930000,MOVE,67.600000,58.947349,0.807786,0.156155,8.652651
0.940000,MOVE,68.000000,59.410192,0.807812,0.157631,8.589808
0.950000,MOVE,68.400000,59.872998,0.807749,0.159107,8.527002
0.960000,MOVE,68.800000,60.335719,0.807600,0.160581,8.464281
0.970000,MOVE,69.200000,60.798307,0.807370,0.162055,8.401693
0.980000,MOVE,69.600000,61.260719,0.807061,0.163528,8.339281
0.990000,MOVE,70.000000,61.722911,0.806677,0.165000,8.277089
1.000000,MOVE,70.400000,62.184842,0.806221,0.166472,8.215158
1.010000,MOVE,70.800000,62.646472,0.805697,0.167942,8.153528
1.020000,MOVE,71.200000,63.107764,0.805107,0.169412,8.092236
1.030000,MOVE,71.600000,63.568682,0.804454,0.170881,8.031318
1.040000,MOVE,72.000000,64.029192,0.803742,0.172349,7.970808
1.050000,MOVE,72.400000,64.489262,0.802973,0.173816,7.910738
1.060000,MOVE,72.800000,64.948861,0.802150,0.175282,7.851139
1.070000,MOVE,73.200000,65.407958,0.801277,0.176747,7.792042
1.080000,MOVE,73.600000,65.866528,0.800355,0.178211,7.733472
1.090000,MOVE,74.000000,66.324543,0.799387,0.179675,7.675457
1.100000,MOVE,74.400000,66.781980,0.798377,0.181137,7.618020
1.110000,MOVE,74.800000,67.238813,0.797326,0.182598,7.561187
1.120000,MOVE,75.200000,67.695023,0.796236,0.184058,7.504977
